Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,87.2,97.2,96.4,93.8,67.2,63.4,78.2,49.6,37.4,30.9,76.8,95.3,95.7,62.5,58.3,50.0
3_adapter,78.2,96.8,94.2,91.0,51.3,55.5,65.8,86.6,81.1,69.3,82.7,97.6,94.1,92.0,68.0,48.0
3pin_aviation_connector,77.7,96.4,94.1,95.7,60.7,56.4,78.2,84.2,75.9,66.2,81.8,97.4,94.7,76.0,68.0,64.0
4_wire_stepping_motor,69.4,94.6,94.2,74.2,6.4,12.6,36.8,93.6,82.4,72.8,76.8,96.4,94.2,80.0,76.0,64.0
D-sub-connector,95.3,99.3,96.0,91.8,71.9,69.6,78.6,46.1,27.0,13.5,99.7,99.9,99.2,4.0,0.0,0.0
DVD_switch,83.0,97.3,94.8,91.1,37.7,40.8,73.0,72.0,60.8,45.6,85.4,97.7,95.9,52.0,48.0,48.0
LED_indicator,71.4,95.6,94.2,76.5,13.5,20.9,63.5,96.0,89.6,82.4,86.4,98.0,94.9,68.0,56.0,48.0
PLCC_socket,81.8,97.2,94.6,97.9,80.7,74.3,83.9,75.2,67.2,50.4,80.8,97.0,94.8,84.0,60.0,52.0
VR_joystick,81.0,96.1,92.5,96.3,61.1,58.9,84.1,84.7,73.5,57.6,90.6,98.7,95.5,72.0,64.0,32.0
access_card,59.3,92.7,94.1,68.1,6.1,10.2,59.7,97.6,93.6,90.4,63.7,94.3,94.0,96.0,92.0,84.0
accurate_detection_switch,73.2,95.8,93.9,89.3,62.1,58.0,78.3,88.3,82.0,70.3,77.0,96.8,94.3,95.8,79.2,70.8
aircraft_model_head,94.9,99.1,98.0,98.1,57.5,54.1,89.7,19.8,15.3,10.7,96.4,99.5,97.8,32.0,24.0,12.0
angled_toggle_switch,92.0,98.8,96.4,85.5,39.5,41.4,68.2,42.2,32.8,28.1,97.8,99.7,98.5,16.0,4.0,4.0
audio_jack_socket,71.6,90.3,91.1,72.8,1.0,2.7,32.3,84.0,72.2,61.3,82.6,97.6,94.3,92.0,80.0,56.0
bag_buckle,87.5,98.0,96.0,99.5,79.8,70.8,97.0,52.0,42.4,36.0,82.0,97.4,95.4,68.0,64.0,56.0
ball_pin,90.8,98.8,94.3,86.2,64.3,63.4,71.6,86.5,65.1,34.1,97.6,99.7,97.8,20.0,8.0,4.0
balun_transformer,78.2,95.0,91.8,97.2,69.3,62.9,80.0,89.0,78.5,65.7,80.2,96.6,95.1,72.0,68.0,60.0
battery,59.3,91.6,94.0,79.8,7.7,14.2,54.1,96.1,90.7,84.5,65.3,93.4,94.1,96.0,92.0,76.0
battery_holder_connector,72.4,94.4,94.8,89.6,25.2,29.7,74.0,74.4,67.4,58.1,69.8,94.6,94.5,88.0,84.0,68.0
battery_socket_connector,60.0,89.9,92.2,84.3,19.1,23.4,47.4,95.7,90.2,81.6,68.9,94.9,94.1,92.0,92.0,76.0
bend_connector,78.3,96.3,93.2,91.1,51.6,49.5,78.1,91.0,77.8,70.8,86.9,98.1,95.8,52.0,48.0,40.0
