Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,84.4,96.7,95.7,92.0,62.7,59.4,71.8,56.9,46.3,35.8,74.0,95.0,96.2,58.3,54.2,54.2
3_adapter,84.1,97.6,94.4,90.5,50.7,55.0,66.3,78.0,63.8,54.3,85.3,97.9,95.0,72.0,64.0,48.0
3pin_aviation_connector,79.0,96.7,93.9,96.0,62.1,57.3,79.1,83.5,72.2,66.9,84.8,97.8,94.5,80.0,72.0,48.0
4_wire_stepping_motor,70.3,95.1,94.1,79.4,8.3,14.0,37.1,92.0,80.8,74.4,81.6,97.4,94.6,92.0,72.0,52.0
D-sub-connector,96.9,99.5,96.4,91.1,70.4,68.1,79.6,38.3,17.7,6.4,99.8,100.0,99.5,0.0,0.0,0.0
DVD_switch,86.8,98.0,94.4,90.5,37.5,41.3,72.8,79.2,56.0,37.6,91.5,98.6,97.0,36.0,28.0,24.0
LED_indicator,75.2,96.2,94.2,76.2,8.8,15.1,60.6,90.4,83.2,74.4,87.4,98.2,95.0,76.0,64.0,48.0
PLCC_socket,75.4,96.0,94.5,97.9,80.0,73.6,83.6,80.0,73.6,61.6,70.9,95.0,94.1,92.0,80.0,68.0
VR_joystick,85.7,97.0,92.4,96.8,62.5,61.5,85.2,78.8,62.4,47.6,86.0,97.7,95.9,56.0,48.0,40.0
access_card,62.9,93.7,94.0,68.7,6.8,11.4,62.3,100.0,99.2,96.0,61.4,93.7,94.3,96.0,96.0,96.0
accurate_detection_switch,74.0,95.8,94.2,89.4,61.6,57.8,78.0,87.5,78.1,71.9,75.1,96.3,94.5,83.3,79.2,75.0
aircraft_model_head,95.3,99.2,98.3,98.0,57.3,53.5,88.8,19.1,15.3,13.7,97.1,99.6,98.8,16.0,16.0,12.0
angled_toggle_switch,90.7,98.6,95.7,86.2,36.6,38.4,68.8,53.1,37.5,27.3,96.0,99.4,97.5,24.0,12.0,12.0
audio_jack_socket,67.6,89.0,90.8,81.0,1.3,3.4,52.7,90.7,82.0,74.2,84.3,97.9,94.1,100.0,80.0,64.0
bag_buckle,88.0,98.2,95.7,99.6,80.5,71.1,97.3,56.8,46.4,35.2,84.3,97.9,95.0,84.0,72.0,68.0
ball_pin,92.8,99.1,94.5,84.1,62.5,62.5,71.9,83.3,54.0,21.4,97.7,99.7,97.5,32.0,12.0,12.0
balun_transformer,79.2,95.3,91.7,97.7,70.9,64.0,84.5,91.9,81.4,65.1,83.4,97.2,95.4,68.0,64.0,56.0
battery,66.1,93.3,94.0,82.0,8.5,15.5,56.4,92.2,80.6,74.4,69.0,94.3,94.3,92.0,88.0,72.0
battery_holder_connector,67.1,92.5,94.9,89.4,21.8,28.1,72.7,73.6,69.8,62.0,62.0,92.4,95.2,76.0,72.0,72.0
battery_socket_connector,65.0,92.0,92.6,85.4,23.1,24.8,48.6,84.7,79.8,76.7,78.8,96.9,94.8,80.0,80.0,76.0
bend_connector,83.6,97.3,93.4,91.9,58.9,56.3,78.4,84.7,73.6,52.1,92.7,99.0,96.8,36.0,28.0,24.0
blade_switch,84.4,97.3,95.0,95.8,62.8,60.7,83.7,72.0,60.0,47.2,82.7,97.0,95.0,76.0,64.0,60.0
blue_light_switch,68.6,92.0,92.8,92.3,19.3,29.2,70.7,87.0,81.2,74.0,68.2,93.7,94.3,80.0,76.0,72.0
bluetooth_module,94.4,99.3,96.2,96.0,78.1,70.5,86.1,52.8,32.8,21.6,98.2,99.8,97.7,24.0,12.0,0.0
boost_converter_module,70.0,92.8,91.3,91.9,48.3,45.3,58.8,92.3,86.7,74.0,75.1,96.0,94.5,88.0,84.0,60.0
bread_model,79.1,96.2,92.8,95.9,68.2,64.9,78.3,90.8,80.3,63.2,81.9,97.4,94.5,80.0,68.0,60.0
brooch_clasp_accessory,95.7,99.4,96.1,97.7,80.7,74.8,89.0,44.2,31.2,14.5,100.0,100.0,99.8,0.0,0.0,0.0
button_battery_holder,68.6,94.1,95.0,87.9,12.2,16.6,57.3,71.9,66.4,62.5,73.8,95.8,94.1,96.0,76.0,68.0
button_motor,91.5,98.8,95.2,99.0,83.8,77.7,93.1,68.0,49.6,27.2,93.0,99.0,96.7,40.0,36.0,20.0
button_switch,82.7,97.4,94.2,99.3,84.2,75.8,87.3,91.2,75.2,48.0,90.4,98.6,96.1,48.0,44.0,32.0
car_door_lock_switch,67.2,94.2,94.1,96.0,27.8,31.9,81.5,88.8,81.6,72.8,67.1,94.8,94.3,92.0,92.0,80.0
ceramic_fuse,65.2,93.0,94.2,85.6,14.2,22.5,67.7,93.6,90.4,78.4,70.2,93.6,95.0,72.0,68.0,52.0
ceramic_wave_filter,83.6,97.8,94.1,94.7,53.7,56.7,78.9,95.2,78.4,64.0,84.9,98.1,94.1,96.0,80.0,68.0
charging_port,78.2,95.8,93.7,90.9,31.2,37.6,75.5,83.0,67.4,52.6,74.3,95.8,94.1,88.0,72.0,64.0
chip-inductor,80.5,96.9,94.3,87.0,33.7,34.9,62.3,79.4,61.1,51.6,84.3,97.7,94.7,76.0,64.0,56.0
circuit_breaker,91.3,98.7,95.7,97.9,71.5,65.6,91.7,56.7,42.5,28.3,98.1,99.7,98.0,28.0,8.0,4.0
circular_aviation_connector,70.8,87.7,88.0,78.9,14.7,21.5,41.7,87.5,78.2,69.0,63.6,92.2,94.7,84.0,76.0,72.0
common-mode-choke,68.6,91.0,91.3,91.2,28.3,35.9,70.3,88.8,75.9,66.8,73.0,96.0,94.1,100.0,100.0,88.0
common-mode-filter,89.2,98.2,95.2,92.3,41.5,44.5,67.1,61.1,44.3,28.2,90.4,98.5,95.4,68.0,36.0,12.0
connector,78.8,96.3,94.4,90.6,58.0,55.4,57.6,76.9,69.2,58.5,77.3,96.2,94.7,84.0,60.0,56.0
connector_housing-female,89.7,98.4,96.0,91.5,59.0,57.3,83.8,52.4,40.5,28.6,93.1,99.0,96.9,44.0,28.0,20.0
console_switch,88.2,98.4,94.8,88.3,19.3,26.4,78.7,71.2,61.6,43.2,92.3,99.0,95.7,64.0,52.0,36.0
crimp_st_cable_mount_box,82.5,96.8,94.3,98.1,61.3,56.4,88.6,69.7,57.7,47.2,80.1,97.1,96.2,64.0,64.0,60.0
dc_jack,85.4,96.7,93.7,85.5,49.9,46.8,83.3,68.1,54.2,40.4,81.1,96.7,96.3,52.0,48.0,48.0
dc_power_connector,91.0,98.7,95.3,90.4,19.4,26.0,83.5,63.2,44.8,27.2,95.4,99.4,96.8,40.0,32.0,12.0
detection_switch,77.4,92.7,91.7,89.3,34.8,41.5,74.5,81.7,69.4,53.8,76.6,95.9,94.7,72.0,56.0,52.0
duckbill_circuit_breaker,80.2,95.6,94.0,94.2,23.2,33.9,76.5,71.8,58.5,52.8,73.4,94.7,94.7,76.0,60.0,52.0
earphone_audio_unit,69.9,93.5,93.2,94.4,39.6,40.7,69.1,85.5,81.4,75.9,75.0,95.8,94.3,88.0,84.0,60.0
effect_transistor,79.0,94.5,90.9,98.7,83.7,75.1,86.6,82.8,76.8,61.6,78.1,96.4,94.3,92.0,76.0,40.0
electronic_watch_movement,73.6,95.8,94.1,94.3,34.1,36.8,65.7,94.4,84.8,69.6,77.4,96.5,94.5,84.0,80.0,56.0
ethernet-connector,80.9,95.5,93.8,94.9,33.7,40.6,76.8,68.6,57.1,49.3,72.0,95.2,93.5,96.0,92.0,68.0
ferrite_bead,85.0,97.8,93.8,96.7,76.4,73.0,80.6,89.6,73.1,54.5,87.4,98.4,94.8,72.0,72.0,56.0
ffc_connector_plug,90.0,97.6,96.8,92.8,13.8,19.5,61.4,35.8,34.7,33.5,98.8,99.8,99.5,8.0,8.0,4.0
flow_control_valve,81.9,96.7,93.3,96.6,62.3,59.6,86.4,80.0,70.0,60.7,88.7,98.2,95.2,72.0,48.0,36.0
flower_copper_shape,91.2,98.8,95.3,93.1,71.4,67.7,84.9,64.0,43.2,27.2,93.8,99.2,95.9,56.0,36.0,24.0
flower_velvet_fabric,84.6,97.8,94.2,89.1,64.7,61.3,73.8,82.4,62.4,50.4,91.5,98.9,95.9,60.0,52.0,28.0
fork-crimp-terminal,84.4,95.6,93.5,96.2,48.4,48.1,88.6,62.2,49.4,37.2,97.8,99.7,97.8,32.0,16.0,8.0
fuse_cover,77.3,95.2,92.0,95.8,51.2,52.2,82.2,93.9,84.2,68.5,78.0,96.7,95.2,73.9,60.9,52.2
fuse_holder,66.5,92.7,95.7,87.5,10.5,13.2,47.9,61.6,60.8,57.6,53.6,91.5,94.1,96.0,96.0,84.0
gear,96.9,99.3,97.7,98.1,84.7,77.8,92.1,23.0,14.3,9.5,100.0,100.0,99.8,0.0,0.0,0.0
gear_motor,60.1,89.7,94.4,85.5,4.4,8.6,75.0,82.4,72.8,66.4,47.4,87.6,95.2,76.0,76.0,76.0
green-ring-filter,68.6,87.4,87.8,89.0,10.4,17.1,63.7,90.8,80.1,71.7,81.6,95.9,95.7,64.0,52.0,44.0
hairdryer_switch,90.3,98.7,95.3,98.3,78.3,74.6,73.9,64.8,50.4,36.0,89.6,98.6,95.5,68.0,52.0,40.0
hall_effect_sensor,92.4,99.0,95.0,81.1,65.5,66.7,56.9,66.4,53.6,30.4,94.5,99.3,96.6,48.0,36.0,16.0
headphone_jack-female,98.1,99.7,98.8,97.1,78.5,73.4,87.3,8.7,6.3,6.3,99.7,99.9,99.3,8.0,0.0,0.0
headphone_jack_socket,70.6,95.1,94.2,92.9,39.8,45.8,85.2,83.1,77.7,66.9,75.5,96.4,94.8,84.0,84.0,80.0
hex_plug,84.6,97.6,94.7,96.2,67.3,62.4,85.2,77.6,56.8,43.2,80.6,97.2,95.2,76.0,72.0,68.0
humidity_sensor,97.3,99.6,97.0,95.0,54.0,53.1,85.7,33.6,17.2,4.5,99.5,99.9,99.2,0.0,0.0,0.0
ingot_buckle,95.2,99.4,96.7,98.8,75.7,69.5,91.1,39.2,26.4,18.4,96.1,99.5,97.5,28.0,28.0,12.0
insect_metal_parts,74.6,95.2,93.3,90.4,25.2,29.9,78.4,91.5,79.4,67.4,82.2,97.5,94.4,76.0,64.0,64.0
inverter_connector,84.2,97.7,94.6,97.7,69.2,63.3,93.9,73.6,62.4,49.6,91.8,98.8,96.5,48.0,32.0,28.0
jam_jar_model,67.4,88.6,91.0,76.1,20.1,35.0,74.2,96.8,90.8,76.2,51.0,88.7,94.1,92.0,92.0,84.0
joystick_switch,99.1,99.9,98.6,99.6,87.8,80.9,99.0,12.0,3.2,1.6,99.9,100.0,99.5,0.0,0.0,0.0
kfc_push-key_switch,78.0,96.4,94.0,86.6,34.5,36.8,58.3,91.5,81.4,65.9,92.8,99.0,96.5,60.0,24.0,24.0
knob-cap,80.4,94.7,94.4,91.5,27.6,31.3,71.0,57.6,47.3,39.4,77.1,95.8,95.0,84.0,68.0,60.0
laser_diode,63.3,89.8,91.6,83.0,3.1,5.4,68.1,96.4,92.3,82.2,67.8,94.5,93.9,92.0,92.0,84.0
lattice_block_plug,64.3,90.5,91.3,94.3,24.2,32.0,79.4,92.8,86.7,80.0,76.0,96.0,94.7,84.0,76.0,60.0
lego-pin-connector-plate,99.3,99.9,99.0,97.9,72.8,68.6,90.4,6.2,3.1,1.6,100.0,100.0,99.7,0.0,0.0,0.0
lego-propeller,73.6,94.0,93.9,90.3,14.6,22.1,64.7,90.2,75.0,56.1,66.9,93.1,94.6,80.0,80.0,68.0
lego-reel,99.4,99.9,98.9,92.9,51.8,53.2,89.1,10.4,3.2,1.6,100.0,100.0,100.0,0.0,0.0,0.0
lego-technical-gear,91.9,98.6,94.4,97.9,76.8,70.9,89.9,70.8,47.2,25.7,97.4,99.6,99.0,12.0,12.0,4.0
lego-turbine,91.5,96.5,92.4,97.3,72.3,66.6,84.3,60.9,41.5,23.0,83.1,96.0,96.8,44.0,36.0,24.0
lighting_connector,76.2,91.6,90.6,96.1,62.0,57.4,70.3,92.4,86.4,72.2,66.6,91.0,94.1,96.0,76.0,52.0
lilypad_led,83.6,97.6,94.4,97.0,45.3,47.1,92.0,81.6,66.4,51.2,88.7,98.5,94.7,80.0,64.0,52.0
limit-switch,91.9,97.7,93.1,95.7,36.3,41.7,82.4,53.6,37.8,24.9,98.4,99.8,97.8,24.0,8.0,0.0
lithium_battery_plug,91.7,98.5,95.4,97.3,50.0,48.9,83.9,52.1,35.4,22.2,94.0,99.1,96.6,44.0,32.0,20.0
littel-fuse,87.3,98.3,94.6,92.6,57.6,55.3,83.0,73.8,64.3,44.4,91.3,98.9,95.7,64.0,64.0,28.0
little_cow_model,71.2,92.9,92.3,96.0,43.0,44.9,83.3,92.0,86.5,73.0,77.2,96.1,95.2,80.0,60.0,48.0
lock,93.5,99.0,95.4,88.8,32.4,31.7,60.6,54.0,35.3,25.9,100.0,100.0,99.8,0.0,0.0,0.0
long-zipper,79.0,95.3,93.7,66.8,12.1,21.7,63.9,89.1,70.8,51.1,72.6,94.8,94.9,68.0,64.0,56.0
meteor_hammer_arrowhead,82.2,96.4,92.1,89.8,62.4,59.6,73.3,83.7,74.4,61.0,94.8,99.3,96.4,52.0,32.0,12.0
miniature_laser_module,83.4,97.2,94.4,97.0,41.9,42.4,87.8,77.0,56.3,43.7,87.2,97.7,96.0,52.0,48.0,36.0
miniature_lifting_motor,78.6,96.8,94.0,98.0,80.8,71.7,67.4,91.4,85.2,71.9,81.3,97.3,94.1,92.0,80.0,60.0
miniature_motor,77.0,95.1,95.1,94.5,26.2,34.4,58.5,71.5,63.4,48.0,62.7,93.4,95.7,75.0,75.0,70.8
miniature_stepper_motor,91.0,98.7,95.5,90.3,39.7,39.6,65.2,64.0,46.4,29.6,95.3,99.4,96.5,48.0,32.0,12.0
mobile_charging_connector,92.6,99.0,95.4,97.0,87.5,81.5,87.9,60.0,39.2,23.2,96.4,99.5,98.0,16.0,16.0,12.0
model_steering_module,90.3,98.1,93.2,98.4,68.2,63.4,88.1,71.2,58.8,38.2,93.1,98.9,96.8,44.0,32.0,20.0
monitor_socket,94.7,99.2,96.4,97.4,76.4,68.8,87.1,44.5,25.0,13.3,94.3,99.2,97.8,28.0,28.0,16.0
motor_bracket,83.6,97.6,94.1,97.1,76.6,71.8,80.6,86.6,74.8,58.3,89.7,98.5,95.8,56.0,48.0,40.0
motor_gear_reducer,65.9,92.4,93.9,81.7,14.5,22.5,60.0,89.5,78.9,69.2,66.8,92.9,94.3,80.0,76.0,64.0
motor_plug,76.5,95.2,95.1,97.6,78.0,72.9,90.4,70.0,62.3,53.8,73.6,95.7,95.2,72.0,72.0,72.0
mouse_socket,89.6,98.1,93.7,99.0,79.8,75.1,87.4,71.8,51.5,41.1,90.8,98.8,94.9,72.0,56.0,36.0
multi_function_switch,94.0,99.2,96.0,94.2,53.5,54.0,82.4,50.4,32.0,19.2,99.4,99.9,99.5,4.0,4.0,4.0
nylon_ball_head,87.3,98.2,94.9,91.6,60.3,58.8,79.8,73.6,58.4,42.4,90.5,98.7,95.2,68.0,48.0,24.0
optical_fiber_outlet,88.4,98.3,95.0,98.6,79.8,72.9,92.4,66.9,48.8,33.1,86.6,98.1,95.2,68.0,60.0,44.0
pencil_sharpener,91.6,98.7,94.5,97.9,68.2,61.9,81.2,69.9,44.1,27.2,95.1,99.3,97.0,36.0,28.0,20.0
pinboard_connector,92.5,99.0,95.0,95.7,45.0,49.1,90.5,68.0,54.4,22.4,96.8,99.6,98.3,24.0,20.0,12.0
pitch_connector,88.0,97.9,92.5,97.3,79.7,76.4,90.0,89.7,76.8,41.3,90.1,98.7,95.8,52.0,48.0,44.0
pneumatic_elbow,70.0,94.4,94.0,88.8,37.7,39.7,53.2,93.0,86.7,73.4,62.6,93.4,94.1,96.0,92.0,88.0
pot_core,93.5,99.0,95.6,89.5,50.7,48.2,57.1,58.1,38.0,17.8,97.9,99.7,98.8,16.0,8.0,8.0
