Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
round_twist_switch,70.3,94.2,93.5,89.6,43.1,44.3,55.3,95.0,92.1,77.7,76.5,95.8,94.3,92.0,92.0,64.0
self-lock_switch,77.6,96.6,94.1,93.9,35.2,38.8,81.0,85.9,78.1,65.6,85.6,98.1,94.3,80.0,76.0,60.0
shelf_support_module,88.3,98.2,94.9,90.8,47.3,42.5,72.0,69.2,51.5,37.7,93.1,99.0,96.8,36.0,28.0,20.0
side_press_switch,93.0,99.1,95.5,98.8,84.1,76.0,89.9,59.2,49.6,28.8,96.9,99.6,97.0,36.0,36.0,4.0
side_release_buckle,74.1,95.7,94.0,86.7,26.7,33.4,84.8,88.2,79.5,68.5,77.8,96.8,94.3,88.0,76.0,68.0
silicon_cell_sensor,80.9,97.0,94.4,90.6,28.7,40.7,79.9,88.0,75.2,59.2,94.9,99.2,98.3,20.0,16.0,12.0
sim_card_reader,81.3,97.0,94.4,94.8,54.3,53.3,82.5,82.0,67.2,50.0,77.7,96.7,94.7,72.0,64.0,64.0
single-pole_potentiometer,78.8,96.2,93.4,93.1,58.4,57.5,70.4,84.4,78.0,65.2,82.3,97.4,95.5,68.0,60.0,48.0
single_switch,89.7,98.6,94.4,98.9,74.5,69.5,85.2,81.0,55.6,35.7,95.4,99.4,95.9,72.0,44.0,12.0
slide_switch,88.5,97.8,95.7,93.5,29.4,30.8,64.3,58.1,46.5,31.0,93.0,98.5,99.0,12.0,12.0,12.0
small_leaf,70.7,92.9,92.7,94.2,25.7,33.0,77.1,82.4,77.4,68.6,71.7,94.6,95.0,76.0,68.0,64.0
smd_receiver_module,65.0,88.7,89.7,87.3,22.5,27.2,60.3,91.6,83.6,77.6,84.3,97.2,94.7,72.0,64.0,32.0
solderless_adapter,76.7,96.6,94.4,78.9,26.3,27.7,70.9,86.4,79.2,68.8,71.3,95.9,94.1,92.0,92.0,88.0
spherical_airstone,81.4,96.9,93.6,92.9,42.2,42.0,68.7,87.6,73.7,54.7,90.7,98.7,96.1,54.2,37.5,25.0
spring_antenna,83.4,96.1,92.9,87.5,38.8,41.8,75.5,74.3,56.9,40.7,86.6,97.8,96.0,52.0,36.0,24.0
square_terminal,71.8,95.2,94.3,82.9,56.1,56.2,78.3,93.4,81.0,70.2,70.2,95.1,94.3,91.7,83.3,66.7
steering_T-head,97.7,99.7,97.4,99.1,90.2,81.9,95.0,27.0,16.7,4.8,98.7,99.8,99.0,12.0,12.0,4.0
steering_wheel,76.3,96.4,94.3,96.7,49.5,45.3,73.7,86.4,73.6,62.4,78.1,96.9,94.3,92.0,84.0,60.0
suction-cup,82.5,96.3,92.4,95.5,61.9,59.5,78.8,85.7,77.0,58.4,89.4,98.6,95.2,68.0,60.0,44.0
telephone_spring_switch,77.4,96.7,94.2,96.1,72.0,69.4,77.2,89.6,79.2,65.6,88.7,98.3,94.8,72.0,56.0,32.0
tension_snap_release_clip,81.4,97.0,94.0,90.6,51.8,52.2,73.0,86.8,66.7,49.6,86.1,97.9,95.4,64.0,56.0,44.0
thumbtack,87.4,97.2,92.0,95.6,47.4,46.3,88.7,82.5,60.7,38.3,91.4,98.7,96.5,40.0,28.0,24.0
thyristor,99.7,99.9,99.9,91.3,29.5,31.0,83.6,0.8,0.8,0.8,100.0,100.0,100.0,0.0,0.0,0.0
toy-tire,88.7,98.2,94.0,93.8,58.2,54.0,72.6,73.9,59.2,40.8,96.3,99.5,97.0,33.3,25.0,12.5
