Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
battery,62.1 ± 3.6,92.3 ± 0.9,94.0 ± 0.1,81.5 ± 1.5,8.2 ± 0.4,14.7 ± 0.7,55.1 ± 1.2,95.3 ± 2.8,87.1 ± 5.6,81.4 ± 6.1,66.8 ± 1.9,93.7 ± 0.5,94.2 ± 0.1,96.0 ± 4.0,90.7 ± 2.3,73.3 ± 2.3
battery_holder_connector,69.3 ± 2.7,93.4 ± 1.0,94.7 ± 0.2,89.1 ± 0.8,22.4 ± 2.6,28.3 ± 1.3,72.4 ± 1.7,76.7 ± 4.8,70.5 ± 3.6,62.5 ± 4.7,66.5 ± 4.1,93.7 ± 1.2,95.0 ± 0.5,80.0 ± 6.9,74.7 ± 8.3,68.0 ± 4.0
battery_socket_connector,63.7 ± 3.3,91.2 ± 1.1,92.3 ± 0.2,84.4 ± 0.9,21.5 ± 2.1,24.1 ± 0.7,47.3 ± 1.4,90.8 ± 5.6,85.3 ± 5.2,79.8 ± 2.7,72.4 ± 5.6,95.2 ± 1.5,94.4 ± 0.4,89.3 ± 8.3,88.0 ± 6.9,73.3 ± 4.6
bend_connector,80.3 ± 2.9,96.7 ± 0.5,93.3 ± 0.1,91.8 ± 0.7,55.2 ± 3.7,52.8 ± 3.4,77.5 ± 1.3,87.3 ± 3.3,76.9 ± 2.9,63.0 ± 9.7,89.3 ± 3.0,98.5 ± 0.5,95.9 ± 0.9,54.7 ± 20.1,48.0 ± 20.0,34.7 ± 9.2
blade_switch,83.8 ± 0.9,97.3 ± 0.2,95.0 ± 0.3,96.1 ± 0.3,64.7 ± 3.4,62.3 ± 3.0,83.5 ± 1.1,71.5 ± 3.2,58.9 ± 0.9,47.7 ± 0.9,83.9 ± 1.0,97.4 ± 0.4,95.2 ± 0.3,70.7 ± 9.2,60.0 ± 6.9,50.7 ± 8.3
blue_light_switch,66.2 ± 3.7,90.8 ± 1.6,92.7 ± 0.1,92.6 ± 0.4,20.0 ± 0.9,30.2 ± 1.3,71.3 ± 1.4,90.7 ± 3.3,83.1 ± 3.3,73.1 ± 4.0,63.2 ± 6.3,92.0 ± 2.1,94.4 ± 0.1,85.3 ± 6.1,81.3 ± 6.1,78.7 ± 6.1
bluetooth_module,93.0 ± 1.3,99.1 ± 0.2,95.7 ± 0.4,96.0 ± 0.5,77.0 ± 2.8,69.0 ± 2.8,85.8 ± 1.6,57.6 ± 4.5,40.5 ± 6.8,24.3 ± 2.3,96.5 ± 1.6,99.6 ± 0.2,96.9 ± 0.8,38.7 ± 12.9,21.3 ± 10.1,6.7 ± 6.1
boost_converter_module,73.4 ± 4.3,93.8 ± 1.3,91.3 ± 0.1,92.6 ± 0.8,52.9 ± 4.9,49.1 ± 4.2,62.4 ± 3.7,92.5 ± 0.9,82.9 ± 3.6,70.5 ± 3.6,78.7 ± 6.7,96.8 ± 1.2,94.4 ± 0.3,86.7 ± 6.1,81.3 ± 4.6,61.3 ± 6.1
bread_model,79.0 ± 0.8,96.2 ± 0.1,92.8 ± 0.1,96.0 ± 0.2,69.4 ± 1.4,66.0 ± 1.1,79.2 ± 0.8,89.3 ± 1.4,80.3 ± 4.0,66.5 ± 5.1,82.4 ± 1.3,97.4 ± 0.2,94.6 ± 0.4,82.7 ± 2.3,69.3 ± 6.1,49.3 ± 12.2
brooch_clasp_accessory,95.5 ± 0.6,99.3 ± 0.1,96.1 ± 0.1,97.8 ± 0.1,80.6 ± 0.4,74.3 ± 0.5,88.7 ± 0.4,45.4 ± 1.1,30.0 ± 2.1,14.7 ± 4.0,99.9 ± 0.1,100.0 ± 0.0,99.5 ± 0.3,1.3 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,77.5 ± 7.8,95.7 ± 1.4,95.5 ± 0.4,90.9 ± 2.6,18.7 ± 5.7,22.3 ± 4.9,66.9 ± 8.3,59.1 ± 11.1,51.3 ± 13.0,45.6 ± 14.7,78.9 ± 4.8,96.6 ± 0.8,95.5 ± 1.2,73.3 ± 19.7,64.0 ± 10.6,58.7 ± 8.3
button_motor,93.1 ± 1.4,99.0 ± 0.2,96.0 ± 0.7,99.1 ± 0.1,84.3 ± 0.5,77.6 ± 0.4,93.6 ± 0.6,50.7 ± 15.1,34.7 ± 13.0,20.8 ± 5.8,93.5 ± 0.5,99.0 ± 0.1,97.2 ± 0.7,37.3 ± 8.3,29.3 ± 6.1,20.0 ± 0.0
button_switch,82.4 ± 0.9,97.4 ± 0.2,94.2 ± 0.1,99.3 ± 0.0,83.8 ± 0.3,75.5 ± 0.4,86.4 ± 1.1,89.9 ± 1.2,75.2 ± 0.8,53.9 ± 6.0,88.7 ± 2.1,98.4 ± 0.3,95.8 ± 0.3,58.7 ± 12.2,53.3 ± 8.3,40.0 ± 8.0
Mean,80.0 ± 0.2,96.1 ± 0.1,94.3 ± 0.0,90.5 ± 0.2,49.0 ± 0.9,48.3 ± 0.7,73.3 ± 0.1,75.3 ± 0.5,64.4 ± 0.7,52.7 ± 0.7,83.5 ± 0.1,97.3 ± 0.0,95.7 ± 0.1,64.4 ± 1.5,56.0 ± 1.2,46.0 ± 0.5
