Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,75.1,68.4,58.0,95.4,26.6,32.5,81.3,86.1,76.8,68.2,73.4,87.0,83.1,79.7,75.2,67.1
bottle_cap,91.6,91.8,82.7,97.6,49.1,51.7,87.6,72.7,51.7,30.0,97.3,98.8,94.7,32.5,18.7,3.7
button_battery,72.9,81.7,73.1,97.6,55.7,53.7,77.6,93.8,85.6,75.7,76.7,89.0,81.7,93.8,85.5,68.5
end_cap,78.5,81.4,77.7,95.5,13.8,20.1,89.2,85.7,72.6,57.8,83.0,89.7,86.7,71.8,53.9,42.7
eraser,90.0,88.9,79.4,97.1,54.4,53.3,85.2,78.8,56.0,35.3,93.0,96.7,90.5,56.5,33.7,21.5
fire_hood,75.5,67.5,61.8,96.6,16.8,22.3,76.2,92.4,81.9,69.5,76.3,86.9,82.2,86.0,74.4,60.8
mint,65.6,65.7,64.4,93.0,17.3,23.9,77.1,95.1,89.6,80.2,72.3,92.2,89.9,87.4,81.4,74.3
mounts,78.4,58.5,67.5,96.2,29.6,42.3,88.8,73.2,60.0,46.0,95.9,98.2,92.5,55.4,24.5,12.9
pcb,75.8,84.2,76.9,96.8,46.3,47.6,84.5,94.0,81.5,69.7,79.3,89.3,82.7,82.5,75.6,65.0
phone_battery,86.4,85.6,75.2,98.0,40.2,44.3,89.9,77.9,64.6,49.6,83.7,92.6,83.8,84.6,70.1,57.3
plastic_nut,89.8,84.5,76.3,98.9,53.6,51.4,94.4,72.9,50.3,32.2,95.1,97.2,93.2,32.3,19.9,12.0
plastic_plug,79.2,69.3,66.8,96.8,21.2,27.1,85.9,79.5,68.4,53.0,73.6,85.2,83.8,78.9,71.9,65.3
porcelain_doll,81.6,73.6,68.5,85.3,30.3,37.4,70.1,89.4,78.1,62.4,84.0,91.2,87.0,75.1,54.8,41.5
regulator,60.8,33.7,48.2,94.1,1.4,5.3,76.0,91.9,81.7,71.8,51.1,67.8,81.0,94.8,92.0,88.0
rolled_strip_base,79.4,87.4,84.8,98.6,19.5,25.0,95.8,69.7,57.6,47.5,79.9,88.6,87.0,58.5,51.6,48.8
sim_card_set,93.6,95.4,87.3,99.1,79.3,72.6,93.7,54.0,38.4,20.9,93.4,96.9,89.6,57.8,36.1,24.9
switch,85.3,88.6,78.2,97.2,71.8,67.7,85.6,83.0,67.6,49.9,88.2,94.8,86.1,78.5,64.2,43.9
tape,93.4,92.0,83.3,98.6,63.3,61.3,92.9,66.0,38.4,23.4,98.1,99.1,94.8,18.4,13.2,6.0
terminalblock,90.9,93.4,84.2,97.0,64.8,63.5,88.5,74.6,53.8,36.5,96.7,98.6,92.8,36.6,22.6,12.8
toothbrush,79.6,81.8,76.6,94.8,30.0,37.4,84.0,83.7,70.8,54.9,84.7,91.9,86.6,62.7,52.0,40.6
toy,60.3,63.6,74.9,89.8,1.5,5.5,69.1,88.6,81.9,75.3,58.6,69.6,81.2,89.2,81.9,72.3
toy_brick,74.0,68.6,64.3,93.5,10.7,15.3,73.8,91.5,80.7,66.7,72.3,85.2,81.4,88.3,79.8,67.3
transistor1,86.3,90.3,80.9,96.8,54.4,52.8,88.0,79.4,64.1,49.6,95.5,97.8,93.2,35.5,18.1,14.9
u_block,86.0,79.5,71.5,98.6,46.3,46.9,90.4,80.2,67.3,46.6,90.1,94.4,89.3,57.0,36.5,24.1
usb,84.1,84.9,74.2,97.3,43.9,48.4,90.0,83.5,70.0,52.2,89.0,95.0,87.1,72.8,54.9,36.6
usb_adaptor,78.6,76.0,66.8,96.1,42.6,46.2,85.5,91.6,82.2,66.6,90.0,95.1,90.3,64.8,37.8,24.3
vcpill,84.5,84.1,73.5,96.3,61.7,59.7,75.8,86.0,74.9,56.4,85.6,93.4,83.3,86.5,73.4,59.9
wooden_beads,77.4,74.7,67.5,96.1,26.9,32.6,77.5,90.9,78.4,63.9,80.7,91.7,85.2,86.2,75.6,57.1
woodstick,73.4,61.8,53.1,95.6,37.1,44.5,74.9,90.0,80.3,71.0,67.3,83.3,80.0,96.4,89.2,82.8
zipper,87.9,92.9,84.4,86.9,21.8,26.8,80.5,74.4,59.8,38.3,95.2,97.3,92.4,32.0,23.2,14.4
Mean,80.5,78.3,72.7,95.7,37.7,40.6,83.7,82.3,68.8,54.0,83.3,91.2,87.1,67.7,54.7,43.7
