Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
switch,84.5 ± 1.3,88.1 ± 1.1,77.4 ± 1.0,97.1 ± 0.4,70.6 ± 1.2,66.5 ± 1.3,85.2 ± 0.9,85.4 ± 2.4,70.6 ± 3.1,52.6 ± 3.1,88.2 ± 1.7,94.7 ± 0.8,86.0 ± 1.3,77.2 ± 1.5,62.0 ± 4.8,44.2 ± 5.7
tape,93.2 ± 0.7,91.7 ± 0.6,82.5 ± 0.7,98.7 ± 0.2,63.3 ± 0.2,61.0 ± 0.4,92.9 ± 0.5,58.8 ± 7.4,39.4 ± 6.0,23.7 ± 3.0,97.4 ± 1.0,98.8 ± 0.4,93.8 ± 1.7,25.7 ± 9.5,17.1 ± 7.8,8.8 ± 3.9
terminalblock,89.6 ± 1.3,92.2 ± 1.3,82.6 ± 1.6,97.2 ± 0.2,58.9 ± 10.7,58.1 ± 9.5,88.8 ± 0.3,75.2 ± 2.2,57.1 ± 2.9,39.1 ± 2.6,95.0 ± 1.6,98.0 ± 0.6,91.3 ± 1.3,58.6 ± 20.7,34.8 ± 11.6,18.0 ± 4.8
toothbrush,76.8 ± 6.2,79.4 ± 6.6,75.5 ± 1.9,94.9 ± 0.3,24.5 ± 9.5,32.0 ± 9.1,83.4 ± 1.7,84.9 ± 2.2,72.6 ± 3.1,58.7 ± 5.8,85.9 ± 3.4,92.5 ± 2.0,87.0 ± 1.2,63.2 ± 0.5,51.1 ± 7.2,39.1 ± 7.7
toy,54.5 ± 6.2,58.7 ± 4.5,74.5 ± 0.5,89.6 ± 1.2,1.8 ± 0.5,6.8 ± 1.6,67.6 ± 1.9,90.4 ± 2.9,85.2 ± 4.0,79.8 ± 5.5,50.4 ± 7.7,65.6 ± 3.5,81.6 ± 0.8,87.6 ± 5.8,83.9 ± 6.9,79.0 ± 9.3
toy_brick,72.4 ± 3.9,66.0 ± 5.1,63.5 ± 2.1,93.6 ± 1.5,9.5 ± 3.6,14.0 ± 4.1,74.4 ± 4.7,91.0 ± 1.4,79.9 ± 2.9,67.6 ± 4.9,71.5 ± 3.4,83.7 ± 2.9,81.7 ± 0.5,88.8 ± 0.9,78.6 ± 4.0,66.5 ± 4.9
transistor1,84.5 ± 1.7,88.6 ± 1.5,79.5 ± 1.2,96.7 ± 0.1,49.8 ± 4.2,48.8 ± 3.7,88.0 ± 0.4,79.6 ± 2.1,65.6 ± 1.3,50.8 ± 1.1,93.1 ± 2.1,96.5 ± 1.1,90.3 ± 2.7,48.3 ± 11.7,34.3 ± 14.6,24.6 ± 9.3
u_block,85.4 ± 1.1,79.4 ± 1.4,70.1 ± 1.6,98.4 ± 0.2,43.9 ± 3.9,44.8 ± 3.1,89.0 ± 1.5,80.1 ± 1.3,66.3 ± 3.6,50.0 ± 4.0,90.1 ± 1.8,94.8 ± 1.2,88.7 ± 1.2,65.1 ± 7.3,47.9 ± 10.2,27.7 ± 6.6
usb,83.3 ± 1.3,84.3 ± 1.3,73.9 ± 0.9,97.1 ± 0.2,44.7 ± 1.2,48.8 ± 1.0,89.4 ± 0.6,86.0 ± 2.9,71.9 ± 2.9,55.9 ± 3.7,88.0 ± 3.0,94.6 ± 1.4,86.2 ± 1.9,72.8 ± 3.7,59.2 ± 6.8,42.8 ± 11.1
usb_adaptor,78.2 ± 0.4,74.7 ± 1.3,66.5 ± 0.4,95.6 ± 0.4,40.2 ± 2.3,44.0 ± 2.2,84.8 ± 1.1,91.8 ± 2.2,82.9 ± 2.9,66.7 ± 4.2,85.2 ± 4.5,92.8 ± 2.1,88.1 ± 2.3,71.5 ± 8.7,51.6 ± 13.5,38.0 ± 14.9
vcpill,84.6 ± 0.2,83.1 ± 0.9,72.3 ± 1.1,96.2 ± 0.2,49.8 ± 10.3,49.9 ± 8.5,78.0 ± 2.0,84.2 ± 2.8,70.1 ± 4.2,53.5 ± 2.7,87.0 ± 1.8,93.9 ± 0.6,84.6 ± 2.1,80.3 ± 8.2,65.3 ± 7.6,50.3 ± 12.2
wooden_beads,78.4 ± 0.9,76.1 ± 1.3,68.4 ± 0.8,96.5 ± 0.4,24.7 ± 2.8,30.9 ± 2.3,80.2 ± 2.5,89.0 ± 2.1,76.4 ± 2.0,63.0 ± 1.9,81.4 ± 0.7,91.8 ± 0.2,85.2 ± 0.9,88.7 ± 3.1,75.9 ± 6.0,57.0 ± 7.6
woodstick,71.3 ± 3.2,60.0 ± 3.2,51.6 ± 2.7,94.8 ± 1.5,36.9 ± 2.6,44.5 ± 2.2,70.9 ± 8.2,92.0 ± 3.0,83.1 ± 3.2,74.4 ± 4.1,66.8 ± 0.5,83.2 ± 0.1,80.1 ± 0.2,95.6 ± 1.4,89.7 ± 0.6,83.2 ± 1.4
zipper,87.7 ± 1.2,92.9 ± 0.7,84.0 ± 1.0,86.0 ± 1.0,22.7 ± 1.2,27.5 ± 1.9,80.3 ± 0.7,77.3 ± 3.0,60.7 ± 5.4,41.6 ± 5.3,94.8 ± 1.6,97.2 ± 0.7,92.1 ± 2.1,35.2 ± 12.3,25.2 ± 11.5,15.3 ± 5.9
Mean,80.0 ± 0.4,77.9 ± 0.4,72.4 ± 0.4,95.6 ± 0.2,36.6 ± 1.1,39.7 ± 1.0,83.5 ± 0.7,82.3 ± 0.1,69.3 ± 0.9,54.6 ± 0.9,82.7 ± 0.5,90.9 ± 0.3,86.8 ± 0.2,70.2 ± 2.2,57.3 ± 2.3,45.1 ± 1.4
