Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,78.5,71.1,61.3,95.6,25.6,31.1,82.0,79.2,71.7,59.5,91.2,95.2,91.0,39.4,30.5,23.2
bottle_cap,90.4,91.0,81.5,97.6,46.7,49.5,86.6,80.0,58.3,37.2,96.8,98.6,94.1,45.1,18.3,6.1
button_battery,72.5,81.1,73.2,97.5,53.1,51.5,78.7,92.6,84.9,74.0,71.3,86.3,81.7,91.3,82.6,74.7
end_cap,72.9,77.3,75.1,95.2,12.3,18.7,88.9,90.0,80.7,67.9,79.0,88.4,84.3,76.3,68.0,56.4
eraser,89.8,88.9,80.4,96.6,57.9,56.9,83.4,80.7,65.1,37.1,90.9,95.6,89.5,78.0,48.0,24.4
fire_hood,81.5,74.6,67.0,97.4,17.8,22.8,80.9,87.9,75.9,54.7,82.2,90.3,84.5,82.4,67.6,48.0
mint,66.3,65.1,64.7,91.9,15.5,23.0,75.2,95.1,89.5,78.4,70.8,91.7,89.9,89.2,82.6,73.1
mounts,78.3,59.3,67.5,95.7,27.3,38.2,85.1,75.5,63.7,47.6,95.6,98.1,91.9,51.4,34.1,13.3
pcb,78.3,86.8,77.5,95.8,54.7,54.9,80.8,88.8,77.4,67.9,79.6,90.6,81.0,93.9,87.0,70.7
phone_battery,87.2,86.3,75.6,98.1,44.2,46.4,89.5,76.4,63.2,46.9,84.0,93.1,83.0,83.8,74.7,58.9
plastic_nut,90.4,85.4,76.4,99.0,56.7,53.5,94.8,67.9,51.0,27.3,94.6,97.1,92.0,31.5,23.9,19.9
plastic_plug,75.1,64.3,63.4,94.6,13.6,20.7,79.3,83.2,72.3,60.1,70.2,84.0,81.9,90.1,85.5,74.8
porcelain_doll,82.2,74.4,67.2,86.4,29.3,37.1,69.2,85.7,74.2,57.1,88.2,94.3,86.4,78.4,58.5,40.2
regulator,61.0,33.5,48.4,94.6,1.9,6.3,77.5,92.0,85.1,73.1,49.4,66.1,81.3,93.2,89.6,87.1
rolled_strip_base,79.3,87.2,84.6,98.7,21.0,26.5,95.9,69.4,59.3,51.1,75.9,86.6,86.3,61.3,54.8,51.6
sim_card_set,92.2,94.4,84.9,99.2,76.7,70.5,93.9,64.2,45.1,28.3,92.5,96.4,89.8,56.2,35.7,26.1
switch,83.0,86.8,76.3,96.7,69.4,65.1,84.2,87.7,73.8,56.0,86.6,93.9,84.7,77.6,65.4,50.0
tape,93.8,92.1,82.2,98.9,63.4,60.6,93.3,51.3,34.0,20.9,96.2,98.3,91.8,36.4,26.0,13.2
terminalblock,88.3,90.9,81.0,97.2,46.5,47.1,88.9,73.4,58.2,41.7,93.6,97.4,90.4,77.8,45.7,22.2
toothbrush,81.2,84.5,76.6,95.2,30.0,37.2,84.7,83.6,70.9,55.7,89.7,94.7,88.4,63.5,43.4,30.7
toy,55.1,57.7,74.7,88.3,1.5,6.3,65.5,88.8,84.1,78.1,49.5,63.9,82.5,81.1,78.3,75.1
toy_brick,68.0,60.1,61.2,92.1,5.5,9.4,70.0,92.1,82.3,72.9,67.7,80.4,81.4,89.9,81.9,71.0
transistor1,84.1,88.1,79.0,96.7,48.7,48.3,88.4,77.6,66.1,51.6,92.1,95.8,89.6,50.8,38.3,25.4
u_block,84.1,78.0,68.3,98.2,39.4,41.2,87.5,81.3,69.2,54.4,88.3,93.8,87.3,67.1,56.2,35.3
usb,81.8,82.9,72.8,97.0,44.0,48.1,89.1,89.2,75.2,59.6,84.6,93.0,84.1,76.4,67.1,55.7
usb_adaptor,78.0,74.7,66.6,95.5,39.8,43.9,83.5,94.0,86.1,71.0,84.4,92.0,88.1,68.3,52.2,35.7
vcpill,84.8,82.4,72.1,96.4,44.0,45.0,78.5,81.0,67.6,51.1,89.0,94.6,87.0,71.0,58.3,36.5
wooden_beads,79.0,76.3,68.9,96.9,21.6,28.3,82.4,86.8,74.5,60.8,82.1,91.8,86.1,87.6,70.0,49.3
woodstick,67.6,56.3,48.5,93.1,34.2,42.4,61.5,95.5,86.6,79.0,66.8,83.2,80.0,96.4,89.6,82.0
zipper,86.4,92.3,82.9,85.0,24.1,29.7,80.8,80.4,66.5,47.7,93.0,96.5,89.9,48.8,37.6,21.6
Mean,79.7,77.5,72.0,95.4,35.5,38.7,82.7,82.4,70.4,55.6,82.5,90.7,86.7,71.1,58.4,45.1
